MovieID,Title,Genres,overview,genres,release_date,poster_path,matched_title,match_score
1,Toy Story (1995),Animation|Children's|Comedy,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-10-30,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,toy story,100
2,Jumanji (1995),Adventure|Children's|Fantasy,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",1995-12-15,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,jumanji,100
3,Grumpier Old Men (1995),Comedy|Romance,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1995-12-22,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,grumpier old men,100
4,Waiting to Exhale (1995),Comedy|Drama,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-22,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,waiting to exhale,100
5,Father of the Bride Part II (1995),Comedy,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.","[{'id': 35, 'name': 'Comedy'}]",1995-02-10,/e64sOI48hQXyru7naBFyssKFxVd.jpg,father of the bride part ii,100
6,Heat (1995),Action|Crime|Thriller,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-12-15,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,heat,100
6,Heat (1995),Action|Crime|Thriller,"Former child star Joe Davis (Joe Dallesandro), reduced to living in a cheap Hollywood motel while struggling for acting jobs, is lusted after by nearly every woman he meets, including Jessica Todd (Andrea Feldman), a tightly wound feminist who has recently come out as a lesbian. When Jessica's mother, Sally (Sylvia Miles), an emotionally needy has-been actress, meets Joe, she moves him into her enormous, tacky mansion as her new boy toy and attempts to get him acting work.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1972-10-06,/l6xBVdKfjteFnQucRRJoyIRJOkm.jpg,heat,100
6,Heat (1995),Action|Crime|Thriller,"Reynolds plays an ex-soldier-of-fortunish character in Vegas, taking ""Chaperone"" jobs, fighting with the mob, and trying to get enough money together to move to Venice, Italy.","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1986-01-01,/lRicKGyG3kjkfvlCvv5kzGlox35.jpg,heat,100
7,Sabrina (1995),Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1995-12-15,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,sabrina,100
7,Sabrina (1995),Comedy|Romance,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire, he has no time for a wife and family. David is all play -- technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but David hardly notices her -- ""doesn't even know I exist"" -- until she goes away to Paris for two years, and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds that she has captured David's attention, but just as she does so, she finds herself falling in love with Linus, and she finds that Linus is also falling in love with her.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1954-09-28,/7ITDmatHa2yf5UTzjwaKAvf3Xr6.jpg,sabrina,100
